"Date","BSESN","BVSP","FTSE","GDAXI","GSPC","HSCE","IBEX","JKSE","MXX","N225","TWII","VIX","VLIC"
"1999-01-04 01:00:00",0,0,0,0,0,0,0,0,0,0,NA,0,0
"1999-01-05 01:00:00",0.00861736753814582,0.0240529634617863,0.0133137555478827,-0.00510713527554807,0.0134905906803414,-0.012762232187768,0.0192342443235006,0.036617483230215,-0.0199753500571974,-0.0137457196533431,0,-0.0675746271661035,0.00657848105801807
"1999-01-06 01:00:00",0.0178202008015248,0.0304690513400686,0.0314884543477308,0.03353285374392,0.0218988673037337,0.0452783721239786,NA,0.043982571588759,-0.00392277004967457,0.0176565734228278,0.00768767597780828,-0.0468704625175412,0.0153324333952177
"1999-01-07 01:00:00",0.0287224844001131,-0.0527948986557798,-0.00777140401037046,-0.0180176262725587,-0.00205343438421968,0.0134375315956995,-0.0196554187460541,0.0697669295769308,-0.0215650975681926,0.00504348854661214,0.032436377538292,0.0431842818127623,-0.0042317756966544
"1999-01-08 01:00:00",0.0294932619758707,-0.0251924498839646,0.00751122020929326,0.00462846972254555,0.0042124739979925,-0.0142366824540994,-0.00298245945235713,-0.0411141331496592,-0.00731128173213111,-0.0107508474380456,0.00271946615888362,-0.0457582428526097,0.00449984307263968
"1999-01-11 01:00:00",0.0103557107140717,-0.05735795316504,-0.010169998874369,-0.0195624827872227,-0.00883037922456448,-0.0366269386990449,-0.0158467246379122,-0.0050137589178556,-0.0128204495675473,-0.00174356158891043,-0.002301056599689,0.0895138880333994,-0.00405116434366114
"1999-01-12 01:00:00",-0.0235746026652883,-0.0791060856881117,-0.00848286267515902,-0.0134462544955541,-0.0194702101675723,-0.0424978742844613,-0.0235064580411339,-0.0025324308502603,-0.0376003080509598,-0.000561982543045176,-0.00674979706538247,0.0986610224877381,-0.0143438968290284
"1999-01-13 01:00:00",-0.0128339288052685,-0.0518628312982577,-0.0308850918977232,-0.0420585684781417,-0.00413110678807174,-0.121910216857208,-0.0712895776933023,-0.0399587264186281,-0.0471147970177338,0.00318554858959223,-0.00702504930967803,0.0690877993654993,-0.00728422510945878
"1999-01-14 01:00:00",-0.0055067980776008,-0.10502429145245,-0.00512411294852836,-0.0160592545672392,-0.0181564491444613,-0.00738993102236459,-0.0018791063124446,-0.0254950652294316,0.016875894431574,0.0247050411202298,-0.0124230463472029,0.0910439414262531,-0.0142645049964268
"1999-01-15 01:00:00",-0.0259793813279798,0.288324539547442,0.0205428104555243,0.0143837990015654,0.0253083776932823,0.053368900188205,0.0309116869625126,-0.015172449534046,0.0749322155474878,NA,0.0336013725382796,-0.120363682249875,0.0179018224681163
"1999-01-18 01:00:00",0.0218094642613036,0.0528261341060898,0.0303216630890325,0.0205109386448321,NA,-0.00195626373197418,0.0483321137587286,NA,0.00551304259800877,0.00480682093553882,-0.0120561460199464,NA,NA
"1999-01-19 01:00:00",-0.0183676600238078,0.0369850350365371,-0.0158501946422308,-0.0075924760221197,0.00700530261962787,-0.0270373467464625,-0.00995856201253524,NA,-0.00948471128064934,-0.00251086349751349,-0.00532841548274659,0,0.00246315036913295
"1999-01-20 01:00:00",NA,0.0389288610368454,0.0128574610622078,0.0310118457556686,0.0036833001669292,-0.0530490973164267,0.0118036173310654,NA,0.0466228120019383,0.018534585692313,-0.00516033365252922,-0.0221309170557707,-0.0013448299544243
"1999-01-21 01:00:00",0.033908496735649,-0.047091061160255,-0.0137371851071374,-0.00650538106518735,-0.0172250289737069,-0.0274425182993099,-0.0169211794336912,NA,-0.0109753703390799,0.0153765633984354,0.00339950985917131,0.0779965058934144,-0.0115855296341441
"1999-01-22 01:00:00",-0.00967745661755149,-0.0180557589315503,-0.0271148197241066,-0.0305264404547982,-0.00810465801649768,-0.0511699126519077,-0.031621257301762,NA,-0.0100037899738546,-0.0064098886286915,-0.0164398543973115,0.0327689884032267,-0.00439386953789052
"1999-01-25 01:00:00",0.00341752350090324,NA,0.00335540070686494,-0.00392528460601562,0.00714881583407469,0.00556830223651289,0.005560837813088,-0.0507805122183485,0.00290891957844886,0.0038366070564439,-0.032104290006025,-0.0260002597922852,0.000556060169160615
"1999-01-26 01:00:00",NA,0.0613606676480702,0.000815918485668541,0.00252259888664407,0.0147451912872303,0.0333578905554046,-0.00789402081894846,0.0401626774409087,0.0155667344592705,0.0121159392263016,0.0137460160442317,-0.062976373207008,0.00143510976851799
"1999-01-27 01:00:00",0.013456365178066,0.00547875098596928,-0.0015814004066458,0.00737498020907436,-0.00732528851659684,0.0708223549979671,0.00207305735963275,0.0299329259522601,0.0130269728422512,0.00472043331797292,0.00379127235596096,0.0169610578868519,-0.0106502426764539
"1999-01-28 01:00:00",-0.0183638897153247,0.038284629568257,-0.000663875286327061,0.00844349781195827,0.0176999611204119,-0.0123226716164554,0.022910564259264,-0.00728791947710043,0.0454878370107153,-0.00748390791593086,-0.0123683769072107,-0.0560312165170378,0.00317434858856025
"1999-01-29 01:00:00",0.00684577039187949,0.0228984570201238,0.00399371733610474,0.0193666964484023,0.0112142345156224,-0.00682724656565416,0.00472829810687963,0.0113795420552932,-0.00879912220054205,0.0108822948254961,-0.0131831007553136,-0.0684594314553358,0.0046268343101102
"1999-02-01 01:00:00",-0.0150911644881575,0.0843258521836262,0.0195498320902511,0.0113841314562388,-0.00520248052010445,-0.0269186485272528,0.0120140810473699,-0.00686940215226602,0.0181047809105618,-0.00235256333928642,-0.0204637104361515,0.0526828047612019,-0.000788981995510238
