"Index","MXX.Open","MXX.High","MXX.Low","MXX.Close","MXX.Volume","MXX.Adjusted"
"1999-01-04",3959.48999,3960.26001,3832.139893,3835.72998,0,3835.72998
"1999-01-05",3835.469971,3843.97998,3756.350098,3759.870117,0,3759.870117
"1999-01-06",3754.27002,3801.699951,3718.469971,3745.149902,0,3745.149902
"1999-01-07",3742.909912,3742.909912,3664.639893,3665.25,0,3665.25
"1999-01-08",3665.070068,3691.659912,3628.120117,3638.550049,0,3638.550049
"1999-01-11",3638.290039,3638.290039,3530.449951,3592.199951,0,3592.199951
"1999-01-12",3591.360107,3591.360107,3453.879883,3459.639893,0,3459.639893
"1999-01-13",3457.01001,3457.01001,3272.429932,3300.419922,0,3300.419922
"1999-01-14",3300.350098,3359.310059,3267.969971,3356.590088,0,3356.590088
"1999-01-15",3358.47998,3637.040039,3358.47998,3617.77002,0,3617.77002
"1999-01-18",3622.590088,3695.110107,3555.870117,3637.77002,0,3637.77002
"1999-01-19",3637.909912,3642.040039,3526.449951,3603.429932,0,3603.429932
"1999-01-20",3605.01001,3783.699951,3605.01001,3775.409912,0,3775.409912
"1999-01-21",3774.129883,3780.75,3717.389893,3734.199951,0,3734.199951
"1999-01-22",3733.610107,3733.610107,3673.879883,3697.030029,0,3697.030029
"1999-01-25",3697.590088,3707.800049,3657.889893,3707.800049,0,3707.800049
"1999-01-26",3708.540039,3770.610107,3702.649902,3765.969971,0,3765.969971
"1999-01-27",3766.01001,3848.590088,3766.01001,3815.350098,0,3815.350098
"1999-01-28",3815.939941,3993.02002,3815.939941,3992.909912,0,3992.909912
"1999-01-29",3993.939941,4040.149902,3957.929932,3957.929932,0,3957.929932
"1999-02-01",3960.209961,4036.379883,3946.030029,4030.23999,0,4030.23999
"1999-02-02",4030.540039,4083.550049,4004.110107,4014.580078,0,4014.580078
"1999-02-03",4016.659912,4073.219971,4009.830078,4060.560059,0,4060.560059
"1999-02-04",4060.610107,4085.27002,4013.280029,4013.550049,0,4013.550049
"1999-02-05",NA,NA,NA,NA,NA,NA
"1999-02-08",4013.879883,4043.290039,4000.699951,4016.800049,0,4016.800049
"1999-02-09",4016.699951,4016.699951,3941.620117,3946.939941,0,3946.939941
"1999-02-10",3947.169922,3947.169922,3911.27002,3941.48999,0,3941.48999
"1999-02-11",3941.629883,4110.529785,3941.629883,4107.740234,0,4107.740234
"1999-02-12",4106.799805,4120.129883,4067.340088,4101.180176,0,4101.180176
"1999-02-15",4102.120117,4109.410156,4088.699951,4103.600098,0,4103.600098
"1999-02-16",4103.779785,4170.399902,4103.779785,4159.040039,0,4159.040039
"1999-02-17",4158.200195,4189.100098,4073.570068,4076.340088,0,4076.340088
"1999-02-18",4077.820068,4126.27002,4077.820068,4112.649902,0,4112.649902
"1999-02-19",4110.680176,4210.350098,4109.47998,4200.120117,0,4200.120117
"1999-02-22",4202.169922,4277.649902,4190.970215,4243.180176,0,4243.180176
"1999-02-23",4244.810059,4262.540039,4228.689941,4231.669922,0,4231.669922
"1999-02-24",4231.200195,4322.330078,4231.200195,4269.120117,0,4269.120117
"1999-02-25",4270.029785,4302.75,4259.5,4292.859863,0,4292.859863
"1999-02-26",4292.189941,4310.470215,4245.140137,4260.799805,0,4260.799805
"1999-03-01",4260.330078,4261.339844,4217.740234,4217.740234,0,4217.740234
"1999-03-02",4217.830078,4237.959961,4185.620117,4186.649902,0,4186.649902
"1999-03-03",4186.75,4190.169922,4115.890137,4127.379883,0,4127.379883
"1999-03-04",4128.359863,4374.720215,4128.359863,4218.02002,0,4218.02002
"1999-03-05",4218.959961,4330.580078,4218.959961,4327.799805,0,4327.799805
"1999-03-08",4328.5,4461.540039,4326.180176,4460.850098,0,4460.850098
"1999-03-09",4460.75,4583.709961,4460.52002,4568.100098,0,4568.100098
"1999-03-10",4568.330078,4730.899902,4568.330078,4728.27002,0,4728.27002
"1999-03-11",4729.069824,4874.410156,4675.339844,4679.799805,0,4679.799805
"1999-03-12",4680.290039,4714.430176,4653.640137,4697.72998,0,4697.72998
"1999-03-15",4698.339844,4793.850098,4698.160156,4769.899902,0,4769.899902
"1999-03-16",4770.52002,4895.290039,4769.379883,4890.390137,0,4890.390137
"1999-03-17",4891.160156,4905.399902,4823.700195,4855.169922,0,4855.169922
"1999-03-18",4855.209961,4872.580078,4815.129883,4864.799805,0,4864.799805
"1999-03-19",4865.129883,4933.399902,4783.390137,4784.330078,0,4784.330078
"1999-03-22",4779.069824,4784.240234,4696.859863,4715.299805,0,4715.299805
"1999-03-23",4715.02002,4715.02002,4618.779785,4632.069824,0,4632.069824
"1999-03-24",4631.799805,4820.009766,4630.839844,4819.490234,0,4819.490234
"1999-03-25",4821.410156,4923.379883,4819.910156,4829.200195,0,4829.200195
"1999-03-26",4828.970215,4828.970215,4736.089844,4736.580078,0,4736.580078
"1999-03-29",4736.189941,4846.47998,4736.189941,4845.430176,0,4845.430176
"1999-03-30",4839.910156,4910.02002,4807.72998,4882,0,4882
"1999-03-31",4882.560059,4943.910156,4882.560059,4930.370117,0,4930.370117
"1999-04-01",NA,NA,NA,NA,NA,NA
"1999-04-02",NA,NA,NA,NA,NA,NA
"1999-04-05",4931.049805,5108.399902,4931.049805,5101.939941,0,5101.939941
"1999-04-06",5102.169922,5174.430176,5102.169922,5146.790039,0,5146.790039
"1999-04-07",5147.830078,5182.649902,5061.77002,5123.129883,0,5123.129883
"1999-04-08",5123.870117,5189.640137,5097.560059,5175.390137,0,5175.390137
"1999-04-09",5175.240234,5204.879883,5153.689941,5204.879883,0,5204.879883
"1999-04-12",5204.830078,5310.830078,5153.870117,5303.279785,0,5303.279785
"1999-04-13",5303.370117,5389.240234,5270.240234,5296.310059,0,5296.310059
"1999-04-14",5293.129883,5333.879883,5266.509766,5297.350098,0,5297.350098
"1999-04-15",5298.27002,5538.27002,5298.27002,5490.620117,0,5490.620117
"1999-04-16",5490.060059,5599.759766,5490.060059,5556.439941,0,5556.439941
"1999-04-19",5557.22998,5686.97998,5460.450195,5464.169922,0,5464.169922
"1999-04-20",5462.330078,5479.680176,5336.890137,5337.640137,0,5337.640137
"1999-04-21",5337.410156,5411.120117,5270.399902,5284.470215,0,5284.470215
"1999-04-22",5290.040039,5475.669922,5290.040039,5475.669922,0,5475.669922
"1999-04-23",5476,5529.069824,5440.439941,5481.779785,0,5481.779785
"1999-04-26",5483.450195,5497.149902,5404.529785,5405.149902,0,5405.149902
"1999-04-27",5405.410156,5433.350098,5346.680176,5382.390137,0,5382.390137
"1999-04-28",5382.060059,5502.299805,5378.120117,5458.160156,0,5458.160156
"1999-04-29",5458.609863,5554.629883,5458.609863,5517.310059,0,5517.310059
"1999-04-30",5518.330078,5651.959961,5413.549805,5414.450195,0,5414.450195
